school,test_type,chart_id,chart_title,series,category,value
Dewey Elementary School,i-Ready Math,ast-graph-1,i-Ready Math — Overall Relative Placement,Early On Grade Level,Early On Grade Level,53.0
Dewey Elementary School,i-Ready Math,ast-graph-1,i-Ready Math — Overall Relative Placement,Mid or Above Grade Level,Mid or Above Grade Level,54.0
Dr Martin Luther King Jr Literary & Fine Arts School,STAR Reading,students-count-ast,summary counts,,Students,312.0
Dr Martin Luther King Jr Literary & Fine Arts School,STAR Reading,ast-graph-1,STAR Reading Benchmark Category (Fall SY27),Urgent Intervention,Urgent Intervention,37.0
Dr Martin Luther King Jr Literary & Fine Arts School,STAR Reading,ast-graph-1,STAR Reading Benchmark Category (Fall SY27),Intervention,Intervention,28.0
Dr Martin Luther King Jr Literary & Fine Arts School,STAR Reading,ast-graph-1,STAR Reading Benchmark Category (Fall SY27),Approaching Benchmark,Approaching Benchmark,107.0
Dr Martin Luther King Jr Literary & Fine Arts School,STAR Reading,ast-graph-1,STAR Reading Benchmark Category (Fall SY27),At Benchmark,At Benchmark,117.0
Dr Martin Luther King Jr Literary & Fine Arts School,STAR Reading,ast-graph-1,STAR Reading Benchmark Category (Fall SY27),Above Benchmark,Above Benchmark,23.0
Dr Martin Luther King Jr Literary & Fine Arts School,STAR Early Literacy,students-count-ast,summary counts,,Students,117.0
Dr Martin Luther King Jr Literary & Fine Arts School,STAR Early Literacy,ast-graph-1,STAR Early Literacy Benchmark Category (Fall SY27),Urgent Intervention,Urgent Intervention,11.0
Dr Martin Luther King Jr Literary & Fine Arts School,STAR Early Literacy,ast-graph-1,STAR Early Literacy Benchmark Category (Fall SY27),Intervention,Intervention,11.0
Dr Martin Luther King Jr Literary & Fine Arts School,STAR Early Literacy,ast-graph-1,STAR Early Literacy Benchmark Category (Fall SY27),Approaching Benchmark,Approaching Benchmark,52.0
Dr Martin Luther King Jr Literary & Fine Arts School,STAR Early Literacy,ast-graph-1,STAR Early Literacy Benchmark Category (Fall SY27),At Benchmark,At Benchmark,39.0
Dr Martin Luther King Jr Literary & Fine Arts School,STAR Early Literacy,ast-graph-1,STAR Early Literacy Benchmark Category (Fall SY27),Above Benchmark,Above Benchmark,4.0
Dr Martin Luther King Jr Literary & Fine Arts School,i-Ready Math,students-count-ast,summary counts,,Students,426.0
Dr Martin Luther King Jr Literary & Fine Arts School,i-Ready Math,ast-graph-1,i-Ready Math — Overall Relative Placement,3 or More Grade Levels Below,3 or More Grade Levels Below,60.0
Dr Martin Luther King Jr Literary & Fine Arts School,i-Ready Math,ast-graph-1,i-Ready Math — Overall Relative Placement,2 Grade Levels Below,2 Grade Levels Below,64.0
Dr Martin Luther King Jr Literary & Fine Arts School,i-Ready Math,ast-graph-1,i-Ready Math — Overall Relative Placement,1 Grade Level Below,1 Grade Level Below,194.0
Dr Martin Luther King Jr Literary & Fine Arts School,i-Ready Math,ast-graph-1,i-Ready Math — Overall Relative Placement,Early On Grade Level,Early On Grade Level,61.0
Dr Martin Luther King Jr Literary & Fine Arts School,i-Ready Math,ast-graph-1,i-Ready Math — Overall Relative Placement,Mid or Above Grade Level,Mid or Above Grade Level,47.0
Foster School,STAR Reading,students-count-ast,summary counts,,Students,196.0
Foster School,STAR Reading,ast-graph-1,STAR Reading Benchmark Category (Fall SY27),Urgent Intervention,Urgent Intervention,33.0
Foster School,STAR Reading,ast-graph-1,STAR Reading Benchmark Category (Fall SY27),Intervention,Intervention,37.0
Foster School,STAR Reading,ast-graph-1,STAR Reading Benchmark Category (Fall SY27),Approaching Benchmark,Approaching Benchmark,62.0
Foster School,STAR Reading,ast-graph-1,STAR Reading Benchmark Category (Fall SY27),At Benchmark,At Benchmark,58.0
Foster School,STAR Reading,ast-graph-1,STAR Reading Benchmark Category (Fall SY27),Above Benchmark,Above Benchmark,6.0
Foster School,STAR Early Literacy,students-count-ast,summary counts,,Students,147.0
Foster School,STAR Early Literacy,ast-graph-1,STAR Early Literacy Benchmark Category (Fall SY27),Urgent Intervention,Urgent Intervention,28.0
Foster School,STAR Early Literacy,ast-graph-1,STAR Early Literacy Benchmark Category (Fall SY27),Intervention,Intervention,30.0
Foster School,STAR Early Literacy,ast-graph-1,STAR Early Literacy Benchmark Category (Fall SY27),Approaching Benchmark,Approaching Benchmark,50.0
Foster School,STAR Early Literacy,ast-graph-1,STAR Early Literacy Benchmark Category (Fall SY27),At Benchmark,At Benchmark,34.0
Foster School,STAR Early Literacy,ast-graph-1,STAR Early Literacy Benchmark Category (Fall SY27),Above Benchmark,Above Benchmark,5.0
Foster School,STAR Reading Spanish,students-count-ast,summary counts,,Students,108.0
Foster School,STAR Reading Spanish,ast-graph-1,STAR Reading Spanish Benchmark Category (Fall SY27),Urgent Intervention,Urgent Intervention,22.0
Foster School,STAR Reading Spanish,ast-graph-1,STAR Reading Spanish Benchmark Category (Fall SY27),Intervention,Intervention,22.0
Foster School,STAR Reading Spanish,ast-graph-1,STAR Reading Spanish Benchmark Category (Fall SY27),Approaching Benchmark,Approaching Benchmark,38.0
Foster School,STAR Reading Spanish,ast-graph-1,STAR Reading Spanish Benchmark Category (Fall SY27),At Benchmark,At Benchmark,21.0
Foster School,STAR Reading Spanish,ast-graph-1,STAR Reading Spanish Benchmark Category (Fall SY27),Above Benchmark,Above Benchmark,5.0
Foster School,STAR Early Literacy Spanish,students-count-ast,summary counts,,Students,84.0
Foster School,STAR Early Literacy Spanish,ast-graph-1,STAR Early Literacy Spanish Benchmark Category (Fall SY27),Urgent Intervention,Urgent Intervention,7.0
Foster School,STAR Early Literacy Spanish,ast-graph-1,STAR Early Literacy Spanish Benchmark Category (Fall SY27),Intervention,Intervention,9.0
Foster School,STAR Early Literacy Spanish,ast-graph-1,STAR Early Literacy Spanish Benchmark Category (Fall SY27),Approaching Benchmark,Approaching Benchmark,29.0
Foster School,STAR Early Literacy Spanish,ast-graph-1,STAR Early Literacy Spanish Benchmark Category (Fall SY27),At Benchmark,At Benchmark,37.0
Foster School,STAR Early Literacy Spanish,ast-graph-1,STAR Early Literacy Spanish Benchmark Category (Fall SY27),Above Benchmark,Above Benchmark,2.0
Foster School,i-Ready Math,students-count-ast,summary counts,,Students,354.0
Foster School,i-Ready Math,ast-graph-1,i-Ready Math — Overall Relative Placement,3 or More Grade Levels Below,3 or More Grade Levels Below,44.0
Foster School,i-Ready Math,ast-graph-1,i-Ready Math — Overall Relative Placement,2 Grade Levels Below,2 Grade Levels Below,90.0
