school,chart_id,chart_title,series,category,value
Nichols Middle School,race,Incidents by Race/Ethnicity,,Multi-racial,4.0
Nichols Middle School,race,Incidents by Race/Ethnicity,,White,26.0
Nichols Middle School,grade,Incidents by Grade,,6,27.0
Nichols Middle School,grade,Incidents by Grade,,7,15.0
Nichols Middle School,grade,Incidents by Grade,,8,5.0
Oakton Elementary School,students-count-discipline,summary counts,,Incidents,46.0
Oakton Elementary School,students-count-discipline,summary counts,,Students,25.0
Oakton Elementary School,students-count-discipline,summary counts,,Minor Incidents,39.0
Oakton Elementary School,students-count-discipline,summary counts,,Major Incidents,7.0
Oakton Elementary School,school,Incidents by School,,Oakton Elementary School,46.0
Oakton Elementary School,lvl,Incident Types,,LVL1,23.0
Oakton Elementary School,lvl,Incident Types,,LVL2,16.0
Oakton Elementary School,lvl,Incident Types,,LVL3,7.0
Oakton Elementary School,months,Incidents by Month,,August,5.0
Oakton Elementary School,months,Incidents by Month,,September,41.0
Oakton Elementary School,race,Incidents by Race/Ethnicity,,Black or African American,19.0
Oakton Elementary School,race,Incidents by Race/Ethnicity,,Hispanic or Latino,2.0
Oakton Elementary School,race,Incidents by Race/Ethnicity,,Multi-racial,9.0
Oakton Elementary School,race,Incidents by Race/Ethnicity,,White,16.0
Oakton Elementary School,grade,Incidents by Grade,,0,13.0
Oakton Elementary School,grade,Incidents by Grade,,1,16.0
Oakton Elementary School,grade,Incidents by Grade,,2,8.0
Oakton Elementary School,grade,Incidents by Grade,,3,5.0
Oakton Elementary School,grade,Incidents by Grade,,4,2.0
Oakton Elementary School,grade,Incidents by Grade,,5,2.0
Orrington Elementary School,students-count-discipline,summary counts,,Incidents,8.0
Orrington Elementary School,students-count-discipline,summary counts,,Students,7.0
Orrington Elementary School,students-count-discipline,summary counts,,Minor Incidents,7.0
Orrington Elementary School,students-count-discipline,summary counts,,Major Incidents,1.0
Orrington Elementary School,school,Incidents by School,,Orrington Elementary School,8.0
Orrington Elementary School,lvl,Incident Types,,LVL1,5.0
Orrington Elementary School,lvl,Incident Types,,LVL2,2.0
Orrington Elementary School,lvl,Incident Types,,LVL3,1.0
Orrington Elementary School,months,Incidents by Month,,September,8.0
Orrington Elementary School,race,Incidents by Race/Ethnicity,,Black or African American,1.0
Orrington Elementary School,race,Incidents by Race/Ethnicity,,Multi-racial,3.0
Orrington Elementary School,race,Incidents by Race/Ethnicity,,White,4.0
Orrington Elementary School,grade,Incidents by Grade,,1,1.0
Orrington Elementary School,grade,Incidents by Grade,,3,2.0
Orrington Elementary School,grade,Incidents by Grade,,4,1.0
Orrington Elementary School,grade,Incidents by Grade,,5,4.0
Walker Elementary School,students-count-discipline,summary counts,,Incidents,17.0
Walker Elementary School,students-count-discipline,summary counts,,Students,12.0
Walker Elementary School,students-count-discipline,summary counts,,Minor Incidents,13.0
Walker Elementary School,students-count-discipline,summary counts,,Major Incidents,4.0
Walker Elementary School,school,Incidents by School,,Walker Elementary School,17.0
Walker Elementary School,lvl,Incident Types,,LVL1,12.0
Walker Elementary School,lvl,Incident Types,,LVL2,1.0
Walker Elementary School,lvl,Incident Types,,LVL3,3.0
Walker Elementary School,lvl,Incident Types,,LVL4,1.0
Walker Elementary School,months,Incidents by Month,,August,4.0
Walker Elementary School,months,Incidents by Month,,September,13.0
Walker Elementary School,race,Incidents by Race/Ethnicity,,Asian,2.0
Walker Elementary School,race,Incidents by Race/Ethnicity,,Black or African American,4.0
Walker Elementary School,race,Incidents by Race/Ethnicity,,Hispanic or Latino,2.0
Walker Elementary School,race,Incidents by Race/Ethnicity,,Multi-racial,2.0
Walker Elementary School,race,Incidents by Race/Ethnicity,,White,7.0
Walker Elementary School,grade,Incidents by Grade,,1,4.0
Walker Elementary School,grade,Incidents by Grade,,2,4.0
Walker Elementary School,grade,Incidents by Grade,,3,1.0
Walker Elementary School,grade,Incidents by Grade,,4,5.0
Walker Elementary School,grade,Incidents by Grade,,5,3.0
Washington Elementary School,students-count-discipline,summary counts,,Incidents,47.0
Washington Elementary School,students-count-discipline,summary counts,,Students,22.0
Washington Elementary School,students-count-discipline,summary counts,,Minor Incidents,45.0
Washington Elementary School,students-count-discipline,summary counts,,Major Incidents,2.0
Washington Elementary School,school,Incidents by School,,Washington Elementary School,47.0
Washington Elementary School,lvl,Incident Types,,LVL1,24.0
Washington Elementary School,lvl,Incident Types,,LVL2,21.0
Washington Elementary School,lvl,Incident Types,,LVL3,2.0
Washington Elementary School,months,Incidents by Month,,August,1.0
Washington Elementary School,months,Incidents by Month,,September,46.0
Washington Elementary School,race,Incidents by Race/Ethnicity,,Asian,3.0
Washington Elementary School,race,Incidents by Race/Ethnicity,,Black or African American,26.0
Washington Elementary School,race,Incidents by Race/Ethnicity,,Hispanic or Latino,6.0
Washington Elementary School,race,Incidents by Race/Ethnicity,,Multi-racial,3.0
Washington Elementary School,race,Incidents by Race/Ethnicity,,White,9.0
Washington Elementary School,grade,Incidents by Grade,,0,28.0
Washington Elementary School,grade,Incidents by Grade,,1,11.0
Washington Elementary School,grade,Incidents by Grade,,2,4.0
Washington Elementary School,grade,Incidents by Grade,,5,4.0
Willard Elementary School,students-count-discipline,summary counts,,Incidents,69.0
Willard Elementary School,students-count-discipline,summary counts,,Students,12.0
Willard Elementary School,students-count-discipline,summary counts,,Minor Incidents,56.0
Willard Elementary School,students-count-discipline,summary counts,,Major Incidents,13.0
Willard Elementary School,school,Incidents by School,,Willard Elementary School,69.0
Willard Elementary School,lvl,Incident Types,,LVL1,49.0
Willard Elementary School,lvl,Incident Types,,LVL2,7.0
Willard Elementary School,lvl,Incident Types,,LVL3,13.0
Willard Elementary School,months,Incidents by Month,,August,8.0
Willard Elementary School,months,Incidents by Month,,September,61.0
Willard Elementary School,race,Incidents by Race/Ethnicity,,Asian,1.0
Willard Elementary School,race,Incidents by Race/Ethnicity,,Black or African American,4.0
Willard Elementary School,race,Incidents by Race/Ethnicity,,Hispanic or Latino,8.0
Willard Elementary School,race,Incidents by Race/Ethnicity,,Multi-racial,16.0
Willard Elementary School,race,Incidents by Race/Ethnicity,,White,40.0
Willard Elementary School,grade,Incidents by Grade,,0,16.0
Willard Elementary School,grade,Incidents by Grade,,1,40.0
Willard Elementary School,grade,Incidents by Grade,,2,3.0
Willard Elementary School,grade,Incidents by Grade,,3,8.0
Willard Elementary School,grade,Incidents by Grade,,5,2.0
