dataset,scope,page,test_type,chart_id,chart_title,series,category,value
students,Dawes Elementary School,attendance,,students-count-att,summary counts,,Students,288.0
students,Dawes Elementary School,attendance,,students-count-att,summary counts,,IEP,54.0
students,Dawes Elementary School,attendance,,students-count-att,summary counts,,EL,65.0
students,Dawes Elementary School,attendance,,att-ada,ADA,,value,95.53
students,Dawes Elementary School,attendance,,att-cron-abs,Chronic Absenteeism (%),,value,15.28
students,Dawes Elementary School,discipline,,students-count-discipline,summary counts,,Incidents,62.0
students,Dawes Elementary School,discipline,,students-count-discipline,summary counts,,Students,25.0
students,Dawes Elementary School,discipline,,students-count-discipline,summary counts,,Minor Incidents,38.0
students,Dawes Elementary School,discipline,,students-count-discipline,summary counts,,Major Incidents,24.0
students,Dawes Elementary School,discipline,,school,Incidents by School,,Dawes Elementary School,62.0
students,Dawes Elementary School,discipline,,lvl,Incident Types,,LVL1,30.0
students,Dawes Elementary School,discipline,,lvl,Incident Types,,LVL2,8.0
students,Dawes Elementary School,discipline,,lvl,Incident Types,,LVL3,24.0
students,Dawes Elementary School,discipline,,months,Incidents by Month,,August,2.0
students,Dawes Elementary School,discipline,,months,Incidents by Month,,September,60.0
students,Dawes Elementary School,discipline,,race,Incidents by Race/Ethnicity,,Asian,1.0
students,Dawes Elementary School,discipline,,race,Incidents by Race/Ethnicity,,Black or African American,42.0
students,Dawes Elementary School,discipline,,race,Incidents by Race/Ethnicity,,Hispanic or Latino,4.0
students,Dawes Elementary School,discipline,,race,Incidents by Race/Ethnicity,,Multi-racial,4.0
students,Dawes Elementary School,discipline,,race,Incidents by Race/Ethnicity,,White,11.0
students,Dawes Elementary School,discipline,,grade,Incidents by Grade,,0,34.0
students,Dawes Elementary School,discipline,,grade,Incidents by Grade,,1,2.0
students,Dawes Elementary School,discipline,,grade,Incidents by Grade,,2,3.0
students,Dawes Elementary School,discipline,,grade,Incidents by Grade,,3,10.0
students,Dawes Elementary School,discipline,,grade,Incidents by Grade,,4,12.0
students,Dawes Elementary School,discipline,,grade,Incidents by Grade,,5,1.0
students,Dawes Elementary School,assessments,STAR Reading,students-count-ast,summary counts,,Students,156.0
students,Dawes Elementary School,assessments,STAR Reading,ast-graph-1,STAR Reading Benchmark Category (Fall SY27),Urgent Intervention,Urgent Intervention,13.0
students,Dawes Elementary School,assessments,STAR Reading,ast-graph-1,STAR Reading Benchmark Category (Fall SY27),Intervention,Intervention,16.0
students,Dawes Elementary School,assessments,STAR Reading,ast-graph-1,STAR Reading Benchmark Category (Fall SY27),Approaching Benchmark,Approaching Benchmark,51.0
students,Dawes Elementary School,assessments,STAR Reading,ast-graph-1,STAR Reading Benchmark Category (Fall SY27),At Benchmark,At Benchmark,58.0
students,Dawes Elementary School,assessments,STAR Reading,ast-graph-1,STAR Reading Benchmark Category (Fall SY27),Above Benchmark,Above Benchmark,18.0
students,Dawes Elementary School,assessments,STAR Early Literacy,students-count-ast,summary counts,,Students,125.0
students,Dawes Elementary School,assessments,STAR Early Literacy,ast-graph-1,STAR Early Literacy Benchmark Category (Fall SY27),Urgent Intervention,Urgent Intervention,10.0
students,Dawes Elementary School,assessments,STAR Early Literacy,ast-graph-1,STAR Early Literacy Benchmark Category (Fall SY27),Intervention,Intervention,19.0
students,Dawes Elementary School,assessments,STAR Early Literacy,ast-graph-1,STAR Early Literacy Benchmark Category (Fall SY27),Approaching Benchmark,Approaching Benchmark,47.0
students,Dawes Elementary School,assessments,STAR Early Literacy,ast-graph-1,STAR Early Literacy Benchmark Category (Fall SY27),At Benchmark,At Benchmark,43.0
students,Dawes Elementary School,assessments,STAR Early Literacy,ast-graph-1,STAR Early Literacy Benchmark Category (Fall SY27),Above Benchmark,Above Benchmark,6.0
students,Dawes Elementary School,assessments,STAR Reading Spanish,students-count-ast,summary counts,,Students,55.0
students,Dawes Elementary School,assessments,STAR Reading Spanish,ast-graph-1,STAR Reading Spanish Benchmark Category (Fall SY27),Urgent Intervention,Urgent Intervention,7.0
students,Dawes Elementary School,assessments,STAR Reading Spanish,ast-graph-1,STAR Reading Spanish Benchmark Category (Fall SY27),Intervention,Intervention,15.0
students,Dawes Elementary School,assessments,STAR Reading Spanish,ast-graph-1,STAR Reading Spanish Benchmark Category (Fall SY27),Approaching Benchmark,Approaching Benchmark,23.0
students,Dawes Elementary School,assessments,STAR Reading Spanish,ast-graph-1,STAR Reading Spanish Benchmark Category (Fall SY27),At Benchmark,At Benchmark,8.0
students,Dawes Elementary School,assessments,STAR Reading Spanish,ast-graph-1,STAR Reading Spanish Benchmark Category (Fall SY27),Above Benchmark,Above Benchmark,2.0
students,Dawes Elementary School,assessments,STAR Early Literacy Spanish,students-count-ast,summary counts,,Students,58.0
students,Dawes Elementary School,assessments,STAR Early Literacy Spanish,ast-graph-1,STAR Early Literacy Spanish Benchmark Category (Fall SY27),Urgent Intervention,Urgent Intervention,3.0
students,Dawes Elementary School,assessments,STAR Early Literacy Spanish,ast-graph-1,STAR Early Literacy Spanish Benchmark Category (Fall SY27),Intervention,Intervention,3.0
students,Dawes Elementary School,assessments,STAR Early Literacy Spanish,ast-graph-1,STAR Early Literacy Spanish Benchmark Category (Fall SY27),Approaching Benchmark,Approaching Benchmark,13.0
students,Dawes Elementary School,assessments,STAR Early Literacy Spanish,ast-graph-1,STAR Early Literacy Spanish Benchmark Category (Fall SY27),At Benchmark,At Benchmark,33.0
students,Dawes Elementary School,assessments,STAR Early Literacy Spanish,ast-graph-1,STAR Early Literacy Spanish Benchmark Category (Fall SY27),Above Benchmark,Above Benchmark,6.0
students,Dawes Elementary School,assessments,i-Ready Math,students-count-ast,summary counts,,Students,281.0
